hours_worked,overtime_hours,projects_handled,meetings_count,workload_rating,deadline_pressure,productivity_rating,task_delay,breaks,break_duration,sick_days,leave_days,exhaustion_rating,travel,travel_enjoyment,family_time,social_satisfaction,commute_time,wlb_score,wlb_label
40-45,None,6-8,11-15,1.0,1.0,4.0,Never,2,30-45,1,1,2.0,3 trips,5.0,>15,2.0,>2h,746.1,GOOD
>50,>15,6-8,16-20,1.0,1.0,4.0,Never,4+,20-30,2,3,1.0,No travel,2.0,11-15,5.0,>2h,750.5,GOOD
>50,>15,>8,16-20,4.0,4.0,3.0,Often,2,10-20,1,3,4.0,>3 trips,1.0,3-5,3.0,No commute,640.1,MODERATE
35-40,>15,6-8,6-10,2.0,2.0,3.0,Rarely,4+,30-45,4+,4+,2.0,>3 trips,2.0,6-10,1.0,<30,657.1,MODERATE
45-50,6-10,4-5,0-5,3.0,3.0,4.0,Sometimes,2,<10,4+,2,3.0,>3 trips,2.0,6-10,2.0,<30,655.4,MODERATE
<35,6-10,6-8,0-5,2.0,2.0,2.0,Rarely,4+,>45,4+,3,2.0,>3 trips,2.0,>15,2.0,30-60,713.4,GOOD
<35,>15,>8,0-5,2.0,2.0,4.0,Rarely,3,10-20,2,4+,2.0,No travel,4.0,>15,2.0,>2h,683.9,MODERATE
<35,1-5,6-8,11-15,2.0,2.0,4.0,Rarely,2,30-45,3,3,2.0,3 trips,5.0,11-15,5.0,1-2h,711.1,GOOD
40-45,6-10,4-5,6-10,2.0,2.0,3.0,Rarely,3,20-30,None,3,2.0,1 trip,5.0,<3,2.0,30-60,662.0,MODERATE
45-50,11-15,4-5,11-15,2.0,2.0,2.0,Rarely,1,20-30,3,4+,3.0,No travel,2.0,6-10,3.0,No commute,662.0,MODERATE
<35,6-10,6-8,6-10,2.0,2.0,4.0,Rarely,2,Unknown,2,4+,2.0,>3 trips,1.0,>15,2.0,<30,666.7,MODERATE
40-45,11-15,1,>20,2.0,2.0,1.0,Rarely,3,<10,1,None,2.0,2 trips,5.0,3-5,2.0,30-60,636.0,MODERATE
>50,6-10,1,16-20,1.0,1.0,2.0,Never,3,20-30,None,2,1.0,>3 trips,5.0,11-15,1.0,1-2h,680.5,MODERATE
35-40,>15,2-3,11-15,1.0,1.0,2.0,Never,3,>45,4+,None,1.0,No travel,2.0,11-15,4.0,<30,671.9,MODERATE
45-50,11-15,4-5,>20,4.0,4.0,2.0,Often,4+,Unknown,1,None,3.0,No travel,2.0,3-5,2.0,1-2h,602.5,MODERATE
45-50,1-5,1,0-5,5.0,5.0,2.0,Always,4+,20-30,3,None,4.0,1 trip,1.0,3-5,2.0,1-2h,606.1,MODERATE
>50,6-10,2-3,>20,2.0,2.0,4.0,Rarely,3,<10,None,None,2.0,2 trips,1.0,3-5,5.0,<30,642.9,MODERATE
45-50,6-10,1,16-20,3.0,3.0,5.0,Sometimes,1,<10,4+,None,3.0,>3 trips,1.0,<3,1.0,1-2h,625.5,MODERATE
45-50,>15,6-8,16-20,4.0,4.0,3.0,Often,3,>45,None,3,3.0,2 trips,2.0,11-15,1.0,30-60,692.8,MODERATE
45-50,11-15,4-5,16-20,3.0,3.0,2.0,Sometimes,2,10-20,3,None,3.0,3 trips,2.0,3-5,5.0,<30,648.2,MODERATE
45-50,>15,1,>20,1.0,1.0,5.0,Never,1,>45,2,4+,2.0,3 trips,2.0,>15,2.0,<30,699.2,MODERATE
40-45,11-15,6-8,0-5,4.0,4.0,3.0,Often,1,20-30,3,2,4.0,1 trip,1.0,<3,1.0,<30,603.8,MODERATE
40-45,6-10,2-3,11-15,3.0,3.0,2.0,Sometimes,1,10-20,2,1,3.0,2 trips,1.0,<3,2.0,>2h,636.5,MODERATE
35-40,6-10,6-8,0-5,5.0,5.0,4.0,Always,3,<10,4+,1,4.0,No travel,2.0,<3,5.0,>2h,620.9,MODERATE
45-50,6-10,2-3,6-10,2.0,2.0,3.0,Rarely,2,10-20,3,3,2.0,>3 trips,2.0,3-5,1.0,<30,627.6,MODERATE
>50,6-10,1,6-10,4.0,4.0,1.0,Often,2,20-30,3,None,4.0,No travel,1.0,6-10,1.0,30-60,607.2,MODERATE
<35,None,>8,11-15,4.0,4.0,5.0,Often,3,10-20,3,4+,3.0,3 trips,4.0,3-5,3.0,1-2h,691.9,MODERATE
35-40,6-10,6-8,16-20,2.0,2.0,4.0,Rarely,3,30-45,3,1,2.0,2 trips,2.0,11-15,5.0,30-60,707.2,GOOD
<35,6-10,>8,11-15,3.0,3.0,4.0,Sometimes,3,30-45,2,None,3.0,1 trip,5.0,11-15,3.0,>2h,690.4,MODERATE
<35,11-15,4-5,>20,2.0,2.0,4.0,Rarely,2,<10,2,1,2.0,2 trips,5.0,11-15,3.0,1-2h,657.1,MODERATE
45-50,6-10,>8,16-20,3.0,3.0,4.0,Sometimes,3,>45,1,1,3.0,3 trips,3.0,>15,2.0,>2h,704.9,GOOD
>50,6-10,4-5,11-15,2.0,2.0,4.0,Rarely,2,20-30,4+,None,2.0,No travel,2.0,6-10,5.0,1-2h,698.9,MODERATE
<35,11-15,1,11-15,5.0,5.0,2.0,Always,3,<10,4+,2,4.0,2 trips,1.0,6-10,2.0,<30,625.8,MODERATE
<35,6-10,1,>20,4.0,4.0,3.0,Often,3,30-45,2,2,3.0,2 trips,5.0,>15,3.0,<30,723.8,GOOD
35-40,6-10,6-8,>20,4.0,4.0,5.0,Often,2,<10,1,3,4.0,>3 trips,2.0,<3,1.0,<30,670.0,MODERATE
>50,>15,>8,0-5,4.0,4.0,4.0,Often,2,Unknown,1,4+,4.0,1 trip,1.0,>15,5.0,1-2h,666.0,MODERATE
>50,None,4-5,6-10,2.0,2.0,3.0,Rarely,1,Unknown,3,None,3.0,1 trip,2.0,6-10,2.0,No commute,684.5,MODERATE
<35,11-15,4-5,11-15,4.0,4.0,4.0,Often,4+,10-20,1,1,3.0,>3 trips,2.0,3-5,2.0,<30,639.8,MODERATE
>50,>15,>8,0-5,4.0,4.0,5.0,Often,2,Unknown,4+,2,4.0,>3 trips,2.0,11-15,5.0,30-60,729.5,GOOD
35-40,1-5,1,16-20,2.0,2.0,4.0,Rarely,3,30-45,None,4+,2.0,3 trips,4.0,3-5,2.0,<30,685.8,MODERATE
35-40,1-5,1,16-20,5.0,5.0,1.0,Always,2,10-20,2,4+,4.0,No travel,1.0,<3,1.0,>2h,589.5,MODERATE
35-40,None,4-5,6-10,4.0,4.0,2.0,Often,2,10-20,3,None,4.0,>3 trips,5.0,3-5,5.0,<30,717.6,GOOD
45-50,1-5,6-8,16-20,3.0,3.0,1.0,Sometimes,1,10-20,1,None,3.0,3 trips,2.0,3-5,1.0,<30,624.4,MODERATE
<35,None,1,6-10,4.0,4.0,4.0,Often,2,>45,2,None,4.0,No travel,2.0,>15,5.0,No commute,725.3,GOOD
>50,1-5,2-3,16-20,2.0,2.0,4.0,Rarely,3,Unknown,2,2,2.0,2 trips,2.0,3-5,5.0,No commute,724.6,GOOD
35-40,1-5,4-5,16-20,1.0,1.0,5.0,Never,3,<10,2,3,1.0,>3 trips,2.0,6-10,3.0,>2h,682.4,MODERATE
<35,>15,>8,11-15,3.0,3.0,3.0,Sometimes,3,10-20,4+,3,3.0,1 trip,2.0,6-10,2.0,30-60,664.1,MODERATE
<35,1-5,>8,>20,3.0,3.0,2.0,Sometimes,3,30-45,3,3,3.0,1 trip,2.0,>15,4.0,30-60,666.9,MODERATE
45-50,None,4-5,11-15,2.0,2.0,2.0,Rarely,2,<10,None,4+,2.0,2 trips,1.0,3-5,1.0,1-2h,608.0,MODERATE
>50,6-10,4-5,0-5,3.0,3.0,4.0,Sometimes,3,20-30,3,4+,3.0,2 trips,4.0,6-10,4.0,No commute,635.0,MODERATE
>50,6-10,1,>20,5.0,5.0,2.0,Always,3,30-45,1,2,4.0,2 trips,5.0,6-10,2.0,>2h,679.6,MODERATE
35-40,6-10,4-5,11-15,2.0,2.0,3.0,Rarely,1,<10,3,None,3.0,3 trips,1.0,3-5,3.0,<30,591.6,MODERATE
35-40,None,4-5,>20,5.0,5.0,4.0,Always,None,Unknown,4+,None,5.0,2 trips,2.0,3-5,2.0,30-60,671.2,MODERATE
<35,None,2-3,>20,3.0,3.0,2.0,Sometimes,None,Unknown,None,1,4.0,3 trips,3.0,6-10,4.0,1-2h,684.1,MODERATE
>50,6-10,>8,>20,4.0,4.0,5.0,Often,3,Unknown,3,1,3.0,>3 trips,2.0,6-10,2.0,1-2h,687.1,MODERATE
>50,1-5,1,16-20,4.0,4.0,3.0,Often,2,30-45,1,1,4.0,>3 trips,4.0,<3,1.0,<30,664.7,MODERATE
35-40,6-10,6-8,>20,3.0,3.0,3.0,Sometimes,1,10-20,3,4+,3.0,3 trips,1.0,6-10,4.0,1-2h,673.9,MODERATE
40-45,11-15,1,16-20,2.0,2.0,4.0,Rarely,3,>45,4+,3,2.0,No travel,5.0,6-10,3.0,No commute,736.5,GOOD
<35,None,>8,>20,5.0,5.0,1.0,Always,2,<10,2,2,4.0,No travel,1.0,<3,1.0,>2h,523.7,POOR
>50,11-15,6-8,16-20,3.0,3.0,4.0,Sometimes,2,<10,4+,3,3.0,>3 trips,1.0,3-5,2.0,No commute,662.4,MODERATE
45-50,11-15,4-5,>20,2.0,2.0,1.0,Rarely,3,<10,4+,None,2.0,>3 trips,2.0,6-10,1.0,>2h,614.2,MODERATE
45-50,None,2-3,0-5,2.0,2.0,1.0,Rarely,2,<10,4+,1,2.0,No travel,2.0,6-10,2.0,<30,603.8,MODERATE
40-45,6-10,2-3,11-15,5.0,5.0,5.0,Always,3,30-45,None,3,4.0,No travel,1.0,3-5,4.0,No commute,697.0,MODERATE
35-40,>15,>8,>20,1.0,1.0,4.0,Never,3,>45,3,None,1.0,3 trips,4.0,6-10,2.0,<30,725.7,GOOD
35-40,11-15,>8,0-5,1.0,1.0,1.0,Never,2,<10,1,1,2.0,No travel,5.0,3-5,1.0,30-60,643.1,MODERATE
35-40,6-10,2-3,11-15,4.0,4.0,5.0,Often,3,Unknown,2,3,3.0,1 trip,4.0,>15,5.0,1-2h,710.4,GOOD
45-50,>15,6-8,6-10,4.0,4.0,3.0,Often,1,30-45,2,3,4.0,No travel,1.0,3-5,3.0,>2h,649.0,MODERATE
35-40,11-15,6-8,>20,1.0,1.0,4.0,Never,2,>45,None,3,1.0,No travel,4.0,3-5,3.0,1-2h,685.6,MODERATE
45-50,6-10,1,6-10,2.0,2.0,4.0,Rarely,None,20-30,1,1,3.0,1 trip,1.0,3-5,4.0,<30,664.3,MODERATE
40-45,11-15,4-5,11-15,3.0,3.0,4.0,Sometimes,4+,Unknown,2,4+,2.0,2 trips,2.0,6-10,3.0,1-2h,635.2,MODERATE
<35,6-10,6-8,11-15,2.0,2.0,4.0,Rarely,2,20-30,1,1,2.0,1 trip,5.0,>15,2.0,>2h,696.6,MODERATE
>50,1-5,4-5,>20,1.0,1.0,2.0,Never,2,20-30,1,2,2.0,>3 trips,5.0,6-10,2.0,<30,715.9,GOOD
40-45,1-5,>8,0-5,2.0,2.0,4.0,Rarely,4+,10-20,3,1,2.0,>3 trips,4.0,6-10,2.0,>2h,697.0,MODERATE
45-50,None,6-8,>20,4.0,4.0,2.0,Often,1,>45,None,3,4.0,>3 trips,1.0,3-5,5.0,30-60,644.2,MODERATE
40-45,>15,6-8,0-5,2.0,2.0,1.0,Rarely,2,20-30,4+,None,2.0,2 trips,4.0,11-15,5.0,>2h,709.1,GOOD
>50,11-15,6-8,>20,2.0,2.0,3.0,Rarely,1,>45,4+,None,3.0,2 trips,4.0,11-15,4.0,1-2h,690.2,MODERATE
<35,11-15,1,0-5,1.0,1.0,5.0,Never,3,<10,2,3,1.0,>3 trips,2.0,>15,2.0,No commute,717.2,GOOD
>50,6-10,>8,16-20,3.0,3.0,2.0,Sometimes,3,<10,2,4+,3.0,No travel,2.0,11-15,4.0,<30,666.2,MODERATE
45-50,>15,2-3,0-5,3.0,3.0,5.0,Sometimes,3,Unknown,None,4+,3.0,3 trips,5.0,>15,5.0,30-60,736.5,GOOD
>50,11-15,1,0-5,4.0,4.0,4.0,Often,1,20-30,3,1,4.0,3 trips,4.0,3-5,5.0,No commute,727.4,GOOD
40-45,>15,1,11-15,4.0,4.0,2.0,Often,2,10-20,2,1,4.0,2 trips,1.0,<3,2.0,No commute,634.6,MODERATE
35-40,>15,6-8,6-10,3.0,3.0,4.0,Sometimes,3,30-45,2,None,3.0,2 trips,2.0,3-5,2.0,No commute,672.0,MODERATE
40-45,1-5,1,>20,4.0,4.0,2.0,Often,3,30-45,1,3,3.0,3 trips,3.0,11-15,2.0,<30,681.1,MODERATE
45-50,11-15,2-3,11-15,5.0,5.0,3.0,Always,2,20-30,None,3,4.0,No travel,5.0,3-5,2.0,<30,670.0,MODERATE
<35,11-15,1,6-10,4.0,4.0,5.0,Often,3,30-45,4+,1,3.0,No travel,2.0,3-5,5.0,No commute,694.3,MODERATE
>50,None,1,11-15,1.0,1.0,4.0,Never,1,Unknown,None,2,2.0,2 trips,1.0,>15,3.0,>2h,737.2,GOOD
<35,>15,6-8,11-15,4.0,4.0,3.0,Often,3,30-45,4+,1,3.0,No travel,5.0,6-10,2.0,>2h,715.1,GOOD
45-50,6-10,>8,>20,1.0,1.0,4.0,Never,2,10-20,1,1,2.0,3 trips,4.0,6-10,2.0,No commute,703.6,GOOD
>50,1-5,2-3,16-20,5.0,5.0,5.0,Always,2,20-30,3,4+,4.0,2 trips,2.0,<3,1.0,>2h,648.2,MODERATE
40-45,None,6-8,11-15,4.0,4.0,2.0,Often,3,20-30,4+,1,3.0,1 trip,1.0,3-5,2.0,No commute,608.0,MODERATE
40-45,1-5,1,>20,3.0,3.0,3.0,Sometimes,2,<10,1,1,3.0,2 trips,2.0,<3,2.0,<30,621.0,MODERATE
45-50,6-10,2-3,0-5,1.0,1.0,4.0,Never,1,10-20,3,2,1.0,>3 trips,5.0,>15,3.0,>2h,705.5,GOOD
>50,None,4-5,6-10,2.0,2.0,2.0,Rarely,3,10-20,1,None,2.0,No travel,1.0,3-5,1.0,30-60,641.8,MODERATE
40-45,1-5,1,>20,3.0,3.0,4.0,Sometimes,3,>45,3,None,3.0,No travel,4.0,11-15,3.0,<30,733.1,GOOD
45-50,6-10,>8,16-20,3.0,3.0,4.0,Sometimes,2,30-45,2,1,3.0,3 trips,5.0,3-5,2.0,No commute,699.0,MODERATE
45-50,None,1,>20,1.0,1.0,3.0,Never,3,10-20,3,3,1.0,2 trips,5.0,3-5,2.0,30-60,669.6,MODERATE
<35,6-10,>8,>20,4.0,4.0,2.0,Often,2,Unknown,4+,1,4.0,3 trips,2.0,3-5,3.0,30-60,668.4,MODERATE
40-45,None,4-5,0-5,3.0,3.0,4.0,Sometimes,1,30-45,3,4+,3.0,2 trips,2.0,3-5,2.0,<30,628.9,MODERATE
>50,11-15,6-8,6-10,1.0,1.0,5.0,Never,1,<10,None,2,1.0,2 trips,1.0,<3,1.0,30-60,634.8,MODERATE
40-45,11-15,6-8,6-10,5.0,5.0,2.0,Always,1,Unknown,3,1,5.0,1 trip,5.0,6-10,3.0,>2h,669.2,MODERATE
40-45,1-5,6-8,16-20,3.0,3.0,1.0,Sometimes,4+,<10,1,None,2.0,No travel,1.0,3-5,2.0,30-60,625.6,MODERATE
40-45,>15,2-3,6-10,3.0,3.0,2.0,Sometimes,2,10-20,4+,1,3.0,>3 trips,1.0,<3,5.0,30-60,671.3,MODERATE
45-50,>15,>8,0-5,2.0,2.0,4.0,Rarely,3,Unknown,2,2,2.0,>3 trips,5.0,>15,4.0,1-2h,764.4,GOOD
35-40,6-10,1,16-20,2.0,2.0,2.0,Rarely,2,<10,2,2,2.0,No travel,1.0,3-5,1.0,30-60,557.7,MODERATE
35-40,None,2-3,0-5,3.0,3.0,2.0,Sometimes,1,10-20,1,3,3.0,3 trips,1.0,3-5,2.0,30-60,624.0,MODERATE
<35,11-15,2-3,0-5,4.0,4.0,4.0,Often,2,20-30,2,3,4.0,>3 trips,3.0,6-10,1.0,>2h,646.9,MODERATE
40-45,>15,1,>20,4.0,4.0,4.0,Often,3,20-30,4+,3,3.0,1 trip,2.0,3-5,2.0,30-60,603.8,MODERATE
35-40,11-15,4-5,>20,3.0,3.0,4.0,Sometimes,3,Unknown,1,1,3.0,1 trip,2.0,11-15,4.0,30-60,675.2,MODERATE
<35,6-10,6-8,>20,3.0,3.0,4.0,Sometimes,1,<10,4+,None,3.0,1 trip,1.0,3-5,2.0,<30,623.8,MODERATE
45-50,6-10,4-5,11-15,1.0,1.0,4.0,Never,1,<10,2,4+,2.0,>3 trips,2.0,6-10,4.0,1-2h,685.8,MODERATE
40-45,None,4-5,0-5,3.0,3.0,4.0,Sometimes,1,>45,2,None,3.0,1 trip,2.0,6-10,2.0,30-60,680.3,MODERATE
>50,>15,6-8,6-10,4.0,4.0,2.0,Often,2,10-20,None,2,4.0,1 trip,5.0,>15,4.0,No commute,703.6,GOOD
45-50,6-10,4-5,16-20,4.0,4.0,4.0,Often,1,<10,1,None,4.0,3 trips,3.0,3-5,1.0,1-2h,640.8,MODERATE
<35,6-10,2-3,11-15,3.0,3.0,2.0,Sometimes,2,<10,3,1,3.0,No travel,2.0,6-10,1.0,>2h,632.7,MODERATE
45-50,11-15,1,>20,5.0,5.0,4.0,Always,2,Unknown,1,3,4.0,>3 trips,1.0,3-5,4.0,30-60,622.4,MODERATE
>50,1-5,2-3,11-15,3.0,3.0,2.0,Sometimes,1,Unknown,4+,None,3.0,No travel,1.0,11-15,5.0,<30,701.7,GOOD
45-50,>15,2-3,11-15,3.0,3.0,4.0,Sometimes,None,30-45,2,2,4.0,1 trip,2.0,3-5,1.0,<30,615.7,MODERATE
<35,None,>8,0-5,4.0,4.0,3.0,Often,1,Unknown,None,2,4.0,3 trips,2.0,3-5,4.0,>2h,696.0,MODERATE
>50,None,6-8,0-5,1.0,1.0,4.0,Never,3,20-30,1,4+,1.0,No travel,3.0,6-10,5.0,>2h,679.0,MODERATE
>50,11-15,6-8,6-10,3.0,3.0,3.0,Sometimes,1,Unknown,4+,None,3.0,2 trips,1.0,11-15,5.0,No commute,708.5,GOOD
45-50,None,2-3,16-20,4.0,4.0,4.0,Often,2,10-20,None,1,4.0,>3 trips,1.0,6-10,2.0,>2h,634.6,MODERATE
>50,6-10,6-8,16-20,4.0,4.0,1.0,Often,None,<10,None,2,4.0,1 trip,1.0,>15,2.0,>2h,587.0,MODERATE
45-50,>15,>8,>20,1.0,1.0,4.0,Never,2,10-20,None,4+,2.0,1 trip,5.0,6-10,1.0,1-2h,699.4,MODERATE
40-45,None,1,6-10,2.0,2.0,4.0,Rarely,2,20-30,2,2,2.0,2 trips,2.0,6-10,3.0,30-60,688.8,MODERATE
>50,>15,4-5,16-20,1.0,1.0,2.0,Never,1,10-20,4+,4+,2.0,1 trip,2.0,3-5,2.0,No commute,687.7,MODERATE
45-50,None,6-8,11-15,2.0,2.0,2.0,Rarely,1,10-20,None,2,3.0,No travel,2.0,6-10,4.0,No commute,651.8,MODERATE
40-45,1-5,2-3,11-15,1.0,1.0,1.0,Never,3,30-45,2,1,1.0,1 trip,5.0,>15,1.0,No commute,684.5,MODERATE
>50,1-5,6-8,16-20,4.0,4.0,2.0,Often,2,<10,2,1,4.0,No travel,1.0,6-10,5.0,30-60,619.9,MODERATE
40-45,>15,2-3,11-15,1.0,1.0,4.0,Never,3,<10,2,2,1.0,No travel,1.0,>15,3.0,>2h,665.6,MODERATE
>50,1-5,4-5,11-15,3.0,3.0,1.0,Sometimes,1,10-20,1,3,3.0,>3 trips,2.0,>15,5.0,>2h,658.0,MODERATE
<35,1-5,6-8,>20,3.0,3.0,4.0,Sometimes,2,30-45,2,1,3.0,>3 trips,1.0,6-10,2.0,1-2h,640.7,MODERATE
<35,6-10,4-5,11-15,3.0,3.0,1.0,Sometimes,4+,<10,4+,1,2.0,>3 trips,1.0,6-10,2.0,1-2h,595.7,MODERATE
45-50,None,2-3,16-20,1.0,1.0,4.0,Never,4+,10-20,3,4+,1.0,>3 trips,5.0,3-5,1.0,No commute,697.6,MODERATE
35-40,1-5,>8,0-5,3.0,3.0,1.0,Sometimes,2,>45,1,4+,3.0,2 trips,3.0,3-5,5.0,30-60,634.3,MODERATE
<35,>15,>8,11-15,2.0,2.0,5.0,Rarely,2,>45,None,None,2.0,2 trips,1.0,11-15,4.0,>2h,677.1,MODERATE
35-40,6-10,1,16-20,5.0,5.0,1.0,Always,2,30-45,2,None,4.0,3 trips,1.0,6-10,3.0,30-60,591.9,MODERATE
40-45,1-5,2-3,11-15,2.0,2.0,4.0,Rarely,3,20-30,1,1,2.0,No travel,3.0,11-15,4.0,>2h,696.2,MODERATE
40-45,>15,2-3,6-10,4.0,4.0,4.0,Often,1,>45,1,1,4.0,3 trips,3.0,3-5,2.0,30-60,652.8,MODERATE
35-40,None,2-3,>20,5.0,5.0,1.0,Always,4+,<10,4+,2,4.0,2 trips,2.0,<3,1.0,30-60,606.5,MODERATE
45-50,1-5,>8,0-5,3.0,3.0,4.0,Sometimes,2,<10,None,3,3.0,3 trips,5.0,<3,2.0,No commute,682.8,MODERATE
>50,>15,>8,11-15,4.0,4.0,2.0,Often,2,10-20,3,2,4.0,No travel,5.0,<3,2.0,1-2h,629.2,MODERATE
35-40,>15,>8,16-20,4.0,4.0,1.0,Often,1,<10,3,1,4.0,>3 trips,2.0,6-10,3.0,<30,614.2,MODERATE
35-40,11-15,6-8,0-5,3.0,3.0,2.0,Sometimes,4+,Unknown,1,4+,2.0,1 trip,2.0,<3,2.0,30-60,680.5,MODERATE
35-40,>15,6-8,11-15,5.0,5.0,2.0,Always,1,<10,1,None,5.0,2 trips,1.0,<3,2.0,<30,658.8,MODERATE
35-40,11-15,>8,6-10,4.0,4.0,4.0,Often,2,>45,None,3,4.0,No travel,4.0,3-5,3.0,No commute,649.9,MODERATE
35-40,None,4-5,16-20,5.0,5.0,1.0,Always,2,<10,1,4+,4.0,1 trip,2.0,3-5,4.0,30-60,619.1,MODERATE
45-50,None,6-8,>20,2.0,2.0,4.0,Rarely,3,Unknown,2,1,2.0,2 trips,1.0,3-5,2.0,No commute,671.5,MODERATE
<35,6-10,6-8,11-15,4.0,4.0,4.0,Often,2,>45,3,3,4.0,No travel,2.0,<3,1.0,<30,643.5,MODERATE
>50,11-15,6-8,16-20,2.0,2.0,4.0,Rarely,4+,<10,2,3,2.0,2 trips,5.0,>15,4.0,>2h,708.3,GOOD
<35,>15,6-8,11-15,3.0,3.0,4.0,Sometimes,3,30-45,4+,None,3.0,No travel,2.0,11-15,2.0,30-60,706.6,GOOD
35-40,6-10,1,>20,2.0,2.0,4.0,Rarely,None,>45,1,3,3.0,2 trips,1.0,6-10,3.0,No commute,703.6,GOOD
<35,6-10,6-8,6-10,5.0,5.0,2.0,Always,1,30-45,None,1,5.0,2 trips,1.0,3-5,5.0,<30,611.9,MODERATE
45-50,None,4-5,>20,5.0,5.0,1.0,Always,None,10-20,4+,None,5.0,>3 trips,5.0,>15,2.0,30-60,651.2,MODERATE
40-45,>15,1,>20,4.0,4.0,1.0,Often,1,<10,4+,1,4.0,No travel,3.0,<3,2.0,<30,602.5,MODERATE
<35,11-15,6-8,>20,3.0,3.0,4.0,Sometimes,4+,20-30,None,3,2.0,3 trips,1.0,<3,1.0,>2h,615.0,MODERATE
>50,None,2-3,0-5,2.0,2.0,4.0,Rarely,1,10-20,4+,1,3.0,1 trip,2.0,6-10,2.0,30-60,682.0,MODERATE
45-50,6-10,1,16-20,4.0,4.0,4.0,Often,2,<10,2,4+,4.0,2 trips,1.0,6-10,2.0,No commute,671.3,MODERATE
40-45,1-5,6-8,11-15,5.0,5.0,2.0,Always,None,20-30,4+,3,5.0,>3 trips,1.0,3-5,1.0,No commute,573.0,MODERATE
45-50,6-10,4-5,6-10,4.0,4.0,2.0,Often,3,<10,None,2,3.0,3 trips,2.0,<3,2.0,No commute,619.3,MODERATE
35-40,1-5,>8,11-15,3.0,3.0,4.0,Sometimes,2,>45,3,2,3.0,2 trips,5.0,>15,5.0,No commute,724.4,GOOD
40-45,None,6-8,0-5,2.0,2.0,4.0,Rarely,2,Unknown,1,4+,2.0,No travel,4.0,>15,1.0,30-60,720.4,GOOD
>50,11-15,2-3,6-10,4.0,4.0,2.0,Often,2,30-45,None,2,4.0,1 trip,2.0,6-10,2.0,>2h,627.6,MODERATE
40-45,>15,4-5,0-5,1.0,1.0,4.0,Never,3,20-30,2,2,1.0,3 trips,3.0,>15,5.0,>2h,750.1,GOOD
>50,1-5,1,11-15,5.0,5.0,1.0,Always,1,10-20,2,None,5.0,1 trip,3.0,<3,2.0,No commute,639.7,MODERATE
35-40,>15,4-5,6-10,1.0,1.0,1.0,Never,2,10-20,3,1,2.0,2 trips,1.0,<3,2.0,No commute,639.2,MODERATE
>50,None,6-8,11-15,3.0,3.0,2.0,Sometimes,3,Unknown,2,3,3.0,>3 trips,1.0,11-15,4.0,No commute,667.7,MODERATE
45-50,None,2-3,16-20,3.0,3.0,4.0,Sometimes,2,Unknown,None,2,3.0,3 trips,1.0,6-10,2.0,No commute,685.3,MODERATE
<35,None,4-5,0-5,4.0,4.0,2.0,Often,2,<10,2,3,4.0,2 trips,2.0,6-10,4.0,30-60,663.5,MODERATE
45-50,11-15,4-5,16-20,3.0,3.0,2.0,Sometimes,3,30-45,3,4+,3.0,2 trips,4.0,11-15,2.0,>2h,648.8,MODERATE
45-50,1-5,>8,16-20,5.0,5.0,4.0,Always,3,Unknown,3,2,4.0,1 trip,2.0,6-10,3.0,1-2h,688.5,MODERATE
40-45,>15,>8,11-15,4.0,4.0,2.0,Often,1,<10,4+,None,4.0,>3 trips,3.0,11-15,2.0,1-2h,672.0,MODERATE
35-40,6-10,6-8,11-15,2.0,2.0,1.0,Rarely,1,20-30,4+,3,3.0,3 trips,2.0,6-10,5.0,>2h,687.9,MODERATE
<35,None,1,>20,3.0,3.0,1.0,Sometimes,1,20-30,2,4+,3.0,1 trip,1.0,6-10,2.0,No commute,598.7,MODERATE
>50,>15,1,>20,3.0,3.0,2.0,Sometimes,1,Unknown,2,None,3.0,1 trip,4.0,3-5,2.0,1-2h,668.8,MODERATE
40-45,>15,2-3,6-10,2.0,2.0,2.0,Rarely,None,>45,2,1,3.0,2 trips,4.0,6-10,2.0,30-60,670.3,MODERATE
35-40,11-15,6-8,11-15,1.0,1.0,2.0,Never,2,20-30,2,4+,2.0,2 trips,5.0,11-15,1.0,No commute,645.4,MODERATE
<35,1-5,1,0-5,3.0,3.0,1.0,Sometimes,1,<10,4+,None,3.0,2 trips,2.0,<3,2.0,>2h,600.4,MODERATE
45-50,11-15,4-5,11-15,3.0,3.0,1.0,Sometimes,3,<10,None,3,3.0,No travel,1.0,<3,1.0,>2h,578.3,MODERATE
35-40,11-15,6-8,11-15,1.0,1.0,4.0,Never,2,<10,None,None,2.0,3 trips,2.0,<3,1.0,<30,618.0,MODERATE
35-40,>15,4-5,16-20,5.0,5.0,4.0,Always,1,Unknown,None,4+,5.0,3 trips,2.0,3-5,2.0,30-60,629.3,MODERATE
35-40,1-5,2-3,16-20,1.0,1.0,4.0,Never,3,Unknown,4+,1,1.0,>3 trips,4.0,>15,2.0,30-60,763.7,GOOD
45-50,1-5,6-8,>20,5.0,5.0,2.0,Always,3,<10,None,1,4.0,No travel,1.0,3-5,1.0,<30,605.7,MODERATE
>50,1-5,2-3,6-10,4.0,4.0,4.0,Often,1,>45,None,4+,4.0,>3 trips,2.0,<3,2.0,<30,648.8,MODERATE
40-45,None,>8,6-10,3.0,3.0,4.0,Sometimes,2,<10,4+,3,3.0,>3 trips,4.0,<3,3.0,<30,662.8,MODERATE
